Sno,Candidate,Constituency,Party,Criminal Case,Education,Total Assets,Liabilities
406,Ranjeetsinha Hindurao Naik Nimbalkar,MADHA,BJP,2,12th Pass,"Rs 1,27,51,60,578 ~ 127 Crore+","Rs 89,63,15,287 ~ 89 Crore+"
407,Rao Inderjit Singh,GURGAON,BJP,0,Graduate Professional,"Rs 42,09,70,754 ~ 42 Crore+","Rs 3,15,00,000 ~ 3 Crore+"
408,Rao Uday Pratap Singh,HOSHANGABAD,BJP,1,Graduate,"Rs 15,47,83,105 ~ 15 Crore+","Rs 91,03,300 ~ 91 Lacs+"
409,Ratansinh Rathod,PANCHMAHAL,BJP,0,Graduate Professional,"Rs 1,02,60,663 ~ 1 Crore+","Rs 10,81,611 ~ 10 Lacs+"
410,Rathod Dipsinh Shankarsinh,SABARKANTHA,BJP,0,8th Pass,"Rs 2,39,97,443 ~ 2 Crore+",Rs 0 ~
411,Rathva Gitaben Vajesingbhai,CHHOTA UDAIPUR,BJP,0,12th Pass,"Rs 86,34,660 ~ 86 Lacs+",Rs 0 ~
412,Rattan Lal Kataria,AMBALA,BJP,0,Post Graduate,"Rs 5,43,61,499 ~ 5 Crore+","Rs 1,88,861 ~ 1 Lacs+"
413,Ravi Shankar Prasad,PATNA SAHIB,BJP,0,Post Graduate,"Rs 23,52,75,591 ~ 23 Crore+",Rs 0 ~
414,Ravikumar D,VILUPPURAM,DMK,0,Doctorate,"Rs 65,09,860 ~ 65 Lacs+","Rs 13,69,031 ~ 13 Lacs+"
415,Ravinder,SALEMPUR,BJP,0,12th Pass,"Rs 2,70,31,724 ~ 2 Crore+","Rs 2,49,400 ~ 2 Lacs+"
416,Ravindra Shyamnarayan Shukla Alias Ravi Kishan,GORAKHPUR,BJP,0,12th Pass,"Rs 20,84,94,688 ~ 20 Crore+","Rs 1,77,11,043 ~ 1 Crore+"
417,Ravneet Singh Bittu,LUDHIANA,INC,3,12th Pass,"Rs 5,42,81,096 ~ 5 Crore+","Rs 33,31,266 ~ 33 Lacs+"
418,Rebati Tripura,TRIPURA EAST,BJP,0,Post Graduate,"Rs 19,48,315 ~ 19 Lacs+",Rs 0 ~
419,Rekha Verma,DHAURAHRA,BJP,3,12th Pass,"Rs 2,47,35,488 ~ 2 Crore+","Rs 70,95,916 ~ 70 Lacs+"
420,Renuka Singh Saruta,SURGUJA,BJP,0,12th Pass,"Rs 2,76,82,493 ~ 2 Crore+","Rs 32,51,275 ~ 32 Lacs+"
421,Rita Bahuguna Joshi,ALLAHABAD,BJP,6,Doctorate,"Rs 2,69,19,330 ~ 2 Crore+","Rs 16,00,000 ~ 16 Lacs+"
422,Ritesh Pandey,AMBEDKAR NAGAR,BSP,1,Graduate,"Rs 30,72,65,103 ~ 30 Crore+","Rs 2,47,39,098 ~ 2 Crore+"
423,Riti Pathak,SIDHI,BJP,0,Post Graduate,"Rs 5,15,41,791 ~ 5 Crore+","Rs 5,05,922 ~ 5 Lacs+"
424,Rodmal Nagar,RAJGARH,BJP,0,Graduate,"Rs 4,01,98,295 ~ 4 Crore+","Rs 39,21,362 ~ 39 Lacs+"
425,S. Jagathrakshakan,ARAKKONAM,DMK,2,10th Pass,"Rs 1,14,69,84,897 ~ 114 Crore+","Rs 16,63,65,972 ~ 16 Crore+"
426,S. Muniswamy,KOLAR,BJP,2,12th Pass,"Rs 17,45,57,500 ~ 17 Crore+","Rs 1,98,65,690 ~ 1 Crore+"
427,Sadashiv Kisan Lokhande,SHIRDI,SHS,1,10th Pass,"Rs 11,37,10,526 ~ 11 Crore+","Rs 2,05,100 ~ 2 Lacs+"
428,Sadhvi Niranjan Jyoti,FATEHPUR,BJP,0,12th Pass,"Rs 1,06,67,372 ~ 1 Crore+","Rs 9,10,148 ~ 9 Lacs+"
429,Sadhvi Pragya Singh Thakur,BHOPAL,BJP,1,Post Graduate,"Rs 4,44,224 ~ 4 Lacs+",Rs 0 ~
430,Sajda Ahmed,ULUBERIA,AITC,0,Graduate,"Rs 2,83,51,569 ~ 2 Crore+","Rs 53,22,615 ~ 53 Lacs+"
431,Sandhya Ray,BHIND,BJP,0,Post Graduate,"Rs 5,11,08,660 ~ 5 Crore+","Rs 1,34,00,000 ~ 1 Crore+"
432,Sangam Lal Gupta,PRATAPGARH,BJP,2,8th Pass,"Rs 24,87,89,514 ~ 24 Crore+","Rs 88,95,225 ~ 88 Lacs+"
433,Sangeeta Azad,LALGANJ,BSP,0,Graduate Professional,"Rs 8,84,51,770 ~ 8 Crore+",Rs 0 ~
434,Sangh Mitra Maurya,BADAUN,BJP,2,Graduate Professional,"Rs 4,03,72,093 ~ 4 Crore+",Rs 0 ~
435,Sanjay Bhatia,KARNAL,BJP,0,Graduate,"Rs 22,56,739 ~ 22 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
436,Sanjay Sadashivrao Mandlik,KOLHAPUR,SHS,0,Post Graduate,"Rs 9,51,71,892 ~ 9 Crore+","Rs 1,05,80,414 ~ 1 Crore+"
437,Sanjay Seth,RANCHI,BJP,0,Graduate Professional,"Rs 1,40,44,267 ~ 1 Crore+","Rs 1,00,000 ~ 1 Lacs+"
438,Sanjay Shamrao Dhotre,AKOLA,BJP,1,Graduate Professional,"Rs 7,71,53,230 ~ 7 Crore+","Rs 1,49,85,774 ~ 1 Crore+"
439,Sanjaykaka Patil,SANGLI,BJP,1,10th Pass,"Rs 19,11,92,187 ~ 19 Crore+","Rs 2,33,45,328 ~ 2 Crore+"
440,Sanjeev Kumar Balyan,MUZAFFARNAGAR,BJP,1,Doctorate,"Rs 1,57,81,189 ~ 1 Crore+","Rs 23,73,645 ~ 23 Lacs+"
441,Santokh Singh Chaudhary,JALANDHAR,INC,0,Graduate Professional,"Rs 9,99,25,185 ~ 9 Crore+","Rs 25,34,363 ~ 25 Lacs+"
442,Santosh Kumar,PURNIA,JD(U),1,12th Pass,"Rs 4,10,36,294 ~ 4 Crore+","Rs 25,00,000 ~ 25 Lacs+"
443,Santosh Kumar Gangwar,BAREILLY,BJP,0,Graduate Professional,"Rs 12,63,56,142 ~ 12 Crore+","Rs 1,30,55,209 ~ 1 Crore+"
444,Santosh Pandey,RAJNANDGAON,BJP,0,Graduate Professional,"Rs 2,48,61,970 ~ 2 Crore+","Rs 15,19,820 ~ 15 Lacs+"
445,Saptagiri Sankar Ulaka,KORAPUT,INC,0,Graduate Professional,"Rs 3,75,87,560 ~ 3 Crore+","Rs 12,17,963 ~ 12 Lacs+"
446,Sarmistha Sethi,JAJPUR,BJD,0,Post Graduate,"Rs 1,58,37,082 ~ 1 Crore+",Rs 0 ~
447,Satabdi Roy (Banerjee),BIRBHUM,AITC,0,Graduate,"Rs 4,86,52,722 ~ 4 Crore+","Rs 1,86,04,443 ~ 1 Crore+"
448,Satish Kumar Gautam,ALIGARH,BJP,0,10th Pass,"Rs 10,95,22,559 ~ 10 Crore+","Rs 2,80,95,176 ~ 2 Crore+"
449,Satyadev Pachauri,KANPUR,BJP,0,Post Graduate,"Rs 13,23,82,819 ~ 13 Crore+","Rs 3,10,52,190 ~ 3 Crore+"
450,Satyapal Singh Baghel,AGRA,BJP,5,Doctorate,"Rs 7,42,74,036 ~ 7 Crore+","Rs 86,06,522 ~ 86 Lacs+"
451,Saumitra Khan,BISHNUPUR,BJP,6,12th Pass,"Rs 86,56,777 ~ 86 Lacs+","Rs 10,77,120 ~ 10 Lacs+"
452,Selvam.G,KANCHEEPURAM,DMK,0,Post Graduate,"Rs 4,81,72,936 ~ 4 Crore+",Rs 0 ~
453,Selvaraj M,NAGAPATTINAM,CPI,0,12th Pass,"Rs 45,72,837 ~ 45 Lacs+","Rs 12,51,381 ~ 12 Lacs+"
454,Shankar Lalwani,INDORE,BJP,2,Graduate Professional,"Rs 5,90,38,508 ~ 5 Crore+","Rs 21,06,382 ~ 21 Lacs+"
455,Shantanu Thakur,BANGAON,BJP,8,Graduate,"Rs 52,65,388 ~ 52 Lacs+",Rs 0 ~
456,Shardaben Anilbhai Patel,MAHESANA,BJP,0,12th Pass,"Rs 44,03,08,300 ~ 44 Crore+","Rs 74,77,793 ~ 74 Lacs+"
457,Shashi Tharoor,THIRUVANANTHAPURAM,INC,2,Doctorate,"Rs 35,00,22,585 ~ 35 Crore+",Rs 0 ~
458,Shobha Karandlaje,UDUPI CHIKMAGALUR,BJP,3,Post Graduate,"Rs 10,48,72,668 ~ 10 Crore+","Rs 4,99,36,840 ~ 4 Crore+"
459,Shri Dilip Saikia,MANGALDOI,BJP,0,Graduate,"Rs 62,06,286 ~ 62 Lacs+",Rs 0 ~
460,Shri. Sha. Bra. Dr. Jay Siddeshwar Shivachrya Mahaswamiji,SOLAPUR,BJP,0,Graduate,"Rs 2,78,70,079 ~ 2 Crore+",Rs 0 ~
461,Shripad Yesso Naik,NORTH GOA,BJP,0,Graduate,"Rs 6,57,95,623 ~ 6 Crore+","Rs 14,91,387 ~ 14 Lacs+"
462,Shrirang Chandu Barne,MAVAL,SHS,3,8th Pass,"Rs 1,02,33,10,134 ~ 102 Crore+","Rs 4,16,612 ~ 4 Lacs+"
463,Shyam Singh Yadav,JAUNPUR,BSP,0,Post Graduate,"Rs 14,07,17,620 ~ 14 Crore+","Rs 35,77,000 ~ 35 Lacs+"
464,Sisir Kumar Adhikari,KANTHI,AITC,3,12th Pass,"Rs 3,39,79,650 ~ 3 Crore+",Rs 0 ~
465,Smriti Irani,AMETHI,BJP,0,12th Pass,"Rs 11,10,99,609 ~ 11 Crore+",Rs 0 ~
466,Smt. Sangeeta Kumari Singh Deo,BOLANGIR,BJP,0,Graduate,"Rs 37,95,90,851 ~ 37 Crore+","Rs 75,00,000 ~ 75 Lacs+"
467,Som Parkash,HOSHIARPUR,BJP,0,Post Graduate,"Rs 2,94,04,519 ~ 2 Crore+",Rs 0 ~
468,Sonia Gandhi,RAE BARELI,INC,1,Others,"Rs 11,82,63,916 ~ 11 Crore+",Rs 0 ~
469,Sougata Ray,DUM DUM,AITC,1,Post Graduate,"Rs 4,25,18,790 ~ 4 Crore+",Rs 0 ~
470,Sri Nisith Pramanik,COOCH BEHAR,BJP,11,8th Pass,"Rs 96,29,810 ~ 96 Lacs+",Rs 0 ~
471,Sridhar Kotagiri,ELURU,YSRCP,0,Graduate,"Rs 46,28,08,829 ~ 46 Crore+","Rs 3,35,60,974 ~ 3 Crore+"
472,Srinivas Kesineni,VIJAYAWADA,TDP,0,10th Pass,"Rs 80,81,52,415 ~ 80 Crore+","Rs 51,23,32,955 ~ 51 Crore+"
473,Subbarayan.K,TIRUPPUR,CPI,0,10th Pass,"Rs 80,35,576 ~ 80 Lacs+","Rs 5,00,000 ~ 5 Lacs+"
474,Subhas Kumar Sarkar,BANKURA,BJP,1,Graduate Professional,"Rs 1,97,99,440 ~ 1 Crore+","Rs 32,61,495 ~ 32 Lacs+"
475,Subhash Chandra Baheria,BHILWARA,BJP,0,Graduate,"Rs 23,27,03,276 ~ 23 Crore+","Rs 18,27,380 ~ 18 Lacs+"
476,Subhash Ramrao Bhamre,DHULE,BJP,2,Post Graduate,"Rs 15,86,51,112 ~ 15 Crore+","Rs 10,00,000 ~ 10 Lacs+"
477,Subrat Pathak,KANNAUJ,BJP,11,Graduate,"Rs 5,42,87,991 ~ 5 Crore+","Rs 2,89,93,930 ~ 2 Crore+"
478,Sudarshan Bhagat,LOHARDAGA,BJP,0,Graduate,"Rs 1,29,47,303 ~ 1 Crore+","Rs 5,25,000 ~ 5 Lacs+"
479,Sudhakar Tukaram Shrangare,LATUR,BJP,0,10th Pass,"Rs 28,64,78,302 ~ 28 Crore+","Rs 10,02,50,602 ~ 10 Crore+"
480,Sudheer Gupta,MANDSOUR,BJP,1,Post Graduate,"Rs 9,09,08,944 ~ 9 Crore+","Rs 7,99,283 ~ 7 Lacs+"
481,Sujay Radhakrishna Vikhe,AHMEDNAGAR,BJP,0,Doctorate,"Rs 16,86,64,576 ~ 16 Crore+","Rs 26,23,964 ~ 26 Lacs+"
482,Sukanta Majumdar,BALURGHAT,BJP,0,Doctorate,"Rs 58,25,866 ~ 58 Lacs+","Rs 21,68,170 ~ 21 Lacs+"
483,Sukhbir Singh Badal,FIROZPUR,SAD,4,Post Graduate,"Rs 2,17,99,19,870 ~ 217 Crore+","Rs 95,48,52,600 ~ 95 Crore+"
484,Sukhbir Singh Jaunapuria,TONK SAWAI MADHOPUR,BJP,0,12th Pass,"Rs 1,23,38,02,420 ~ 123 Crore+",Rs 0 ~
485,Sumalatha Ambareesh,MANDYA,IND,0,10th Pass,"Rs 23,41,54,139 ~ 23 Crore+","Rs 1,42,32,295 ~ 1 Crore+"
486,Sumathy Alias Thamizhachi Thangapandian,CHENNAI SOUTH,DMK,0,Doctorate,"Rs 9,17,93,460 ~ 9 Crore+","Rs 5,00,000 ~ 5 Lacs+"
487,Sumedhanand Saraswati,SIKAR,BJP,0,Post Graduate,"Rs 28,27,638 ~ 28 Lacs+","Rs 27,19,583 ~ 27 Lacs+"
488,Sunil Baburao Mendhe,BHANDARA GONDIYA,BJP,2,Others,"Rs 62,75,43,615 ~ 62 Crore+","Rs 1,98,61,338 ~ 1 Crore+"
489,Sunil Kumar,SITAMARHI,JD(U),6,Graduate,"Rs 6,07,17,031 ~ 6 Crore+","Rs 1,02,77,790 ~ 1 Crore+"
490,Sunil Kumar Mondal,BARDHAMAN PURBA,AITC,0,Graduate Professional,"Rs 2,03,71,283 ~ 2 Crore+","Rs 1,48,598 ~ 1 Lacs+"
491,Sunil Kumar Singh,CHATRA,BJP,0,Post Graduate,"Rs 22,62,09,137 ~ 22 Crore+","Rs 18,89,051 ~ 18 Lacs+"
492,Sunil Kumar Soni,RAIPUR,BJP,0,Graduate,"Rs 4,60,68,126 ~ 4 Crore+","Rs 24,82,214 ~ 24 Lacs+"
493,Sunil Soren,DUMKA,BJP,0,12th Pass,"Rs 47,37,559 ~ 47 Lacs+","Rs 6,85,516 ~ 6 Lacs+"
494,Sunita Duggal,SIRSA,BJP,0,Post Graduate,"Rs 4,25,96,349 ~ 4 Crore+","Rs 25,00,000 ~ 25 Lacs+"
495,Supriya Sadanand Sule,BARAMATI,NCP,0,Graduate,"Rs 1,40,88,88,704 ~ 140 Crore+","Rs 55,00,000 ~ 55 Lacs+"
496,Surendrajeet Singh Ahluwalia,BARDHAMAN DURGAPUR,BJP,0,Graduate Professional,"Rs 2,65,21,750 ~ 2 Crore+","Rs 7,44,076 ~ 7 Lacs+"
497,Suresh Babu Nandigam,BAPATLA,YSRCP,0,8th Pass,"Rs 41,58,610 ~ 41 Lacs+","Rs 2,69,000 ~ 2 Lacs+"
498,Suresh Kumar Kashyap,SHIMLA,BJP,0,Post Graduate,"Rs 1,57,05,738 ~ 1 Crore+","Rs 78,73,806 ~ 78 Lacs+"
499,Suresh Pujari,BARGARH,BJP,0,Post Graduate,"Rs 1,16,73,429 ~ 1 Crore+",Rs 0 ~
500,Sushil Kumar Singh,AURANGABAD,BJP,3,Post Graduate,"Rs 16,78,95,109 ~ 16 Crore+","Rs 37,46,607 ~ 37 Lacs+"
501,Swami Sachchidanand Hari Sakshi,UNNAO,BJP,4,Doctorate,"Rs 4,08,86,941 ~ 4 Crore+","Rs 6,99,025 ~ 6 Lacs+"
502,T. N. Prathapan,THRISSUR,INC,7,12th Pass,"Rs 86,09,349 ~ 86 Lacs+","Rs 29,78,120 ~ 29 Lacs+"
503,T. R. V .S. Ramesh,CUDDALORE,DMK,0,Graduate Professional,"Rs 42,33,78,552 ~ 42 Crore+","Rs 10,28,28,604 ~ 10 Crore+"
504,Talari Rangaiah,ANANTAPUR,YSRCP,1,Doctorate,"Rs 1,17,73,091 ~ 1 Crore+","Rs 11,35,547 ~ 11 Lacs+"
505,Tapir Gao,ARUNACHAL EAST,BJP,0,Post Graduate,"Rs 13,66,28,259 ~ 13 Crore+",Rs 0 ~
506,Tatkare Sunil Dattatray,RAIGAD,NCP,0,Others,"Rs 12,74,87,277 ~ 12 Crore+","Rs 32,21,073 ~ 32 Lacs+"
507,Tejasvi Surya,BANGALORE SOUTH,BJP,0,Graduate Professional,"Rs 13,46,593 ~ 13 Lacs+",Rs 0 ~
508,Thirumaavalavan Thol,CHIDAMBARAM,Viduthalai Chiruthaigal Katchi,3,Doctorate,"Rs 92,44,092 ~ 92 Lacs+","Rs 3,94,248 ~ 3 Lacs+"
509,Thirunavukkarasar. Su,TIRUCHIRAPPALLI,INC,0,Post Graduate,"Rs 3,21,82,184 ~ 3 Crore+","Rs 40,208 ~ 40 Thou+"
510,Thomas Chazhikadan,KOTTAYAM,Kerala Congress (M),0,Graduate Professional,"Rs 2,60,27,478 ~ 2 Crore+","Rs 4,95,778 ~ 4 Lacs+"
511,Tirath Singh Rawat,GARHWAL,BJP,0,Post Graduate,"Rs 1,50,32,657 ~ 1 Crore+","Rs 35,00,000 ~ 35 Lacs+"
512,Tokheho Yepthomi,NAGALAND,Nationalist Democratic Progressive Party,0,Graduate,"Rs 12,81,17,474 ~ 12 Crore+","Rs 1,86,00,000 ~ 1 Crore+"
513,Topon Kumar Gogoi,JORHAT,BJP,0,Post Graduate,"Rs 1,25,97,461 ~ 1 Crore+","Rs 4,55,398 ~ 4 Lacs+"
514,Tsering Namgyal,LADAKH,BJP,1,Graduate,"Rs 9,81,904 ~ 9 Lacs+",Rs 0 ~
515,Udasi. S.C.,HAVERI,BJP,0,12th Pass,"Rs 71,84,99,195 ~ 71 Crore+","Rs 16,55,66,495 ~ 16 Crore+"
516,Unmesh Bhaiyyasaheb Patil,JALGAON,BJP,1,Graduate Professional,"Rs 1,23,24,604 ~ 1 Crore+","Rs 25,29,954 ~ 25 Lacs+"
517,Upendra Singh Rawat,BARABANKI,BJP,1,Post Graduate,"Rs 1,80,50,127 ~ 1 Crore+","Rs 31,71,774 ~ 31 Lacs+"
518,V K Sreekandan,PALAKKAD,INC,7,Graduate,"Rs 63,56,399 ~ 63 Lacs+","Rs 27,09,000 ~ 27 Lacs+"
519,V Srinivas Prasad,CHAMARAJANAGAR,BJP,0,Post Graduate,"Rs 14,38,04,441 ~ 14 Crore+","Rs 3,24,909 ~ 3 Lacs+"
520,V. Vaithilingam,PUDUCHERRY,INC,0,Graduate,"Rs 10,80,15,548 ~ 10 Crore+","Rs 5,20,989 ~ 5 Lacs+"
521,Vanga Geetha Viswanatham,KAKINADA,YSRCP,0,Post Graduate,"Rs 20,25,28,594 ~ 20 Crore+","Rs 3,44,16,887 ~ 3 Crore+"
522,Vasanthakumar H,KANNIYAKUMARI,INC,0,Post Graduate,"Rs 4,17,49,30,444 ~ 417 Crore+","Rs 1,54,75,11,439 ~ 154 Crore+"
523,Veena Devi,VAISHALI,LJP,2,10th Pass,"Rs 33,72,84,632 ~ 33 Crore+","Rs 11,20,89,220 ~ 11 Crore+"
524,Velusamy P,DINDIGUL,DMK,0,Illiterate,"Rs 14,80,76,407 ~ 14 Crore+","Rs 3,14,74,526 ~ 3 Crore+"
525,Venkatesan S,MADURAI,CPI(M),0,12th Pass,"Rs 18,11,456 ~ 18 Lacs+",Rs 0 ~
526,Venkatesh Netha Borlakunta,PEDDAPALLE,TRS,0,Doctorate,"Rs 1,65,97,300 ~ 1 Crore+",Rs 0 ~
527,Vijay Baghel,DURG,BJP,0,Graduate,"Rs 3,44,29,027 ~ 3 Crore+","Rs 87,48,686 ~ 87 Lacs+"
528,Vijay Kumar,GAYA,JD(U),3,12th Pass,"Rs 1,27,66,141 ~ 1 Crore+","Rs 31,48,932 ~ 31 Lacs+"
529,Vijay Kumar Dubey,KUSHI NAGAR,BJP,2,12th Pass,"Rs 2,18,60,780 ~ 2 Crore+","Rs 3,16,847 ~ 3 Lacs+"
530,Vijay Kumar Hansdak,RAJMAHAL,JMM,0,10th Pass,"Rs 1,29,19,555 ~ 1 Crore+","Rs 27,43,560 ~ 27 Lacs+"
531,Vijay Kumar Singh,GHAZIABAD,BJP,2,Doctorate,"Rs 5,65,45,702 ~ 5 Crore+",Rs 0 ~
532,Vinayak Bhaurao Raut,RATNAGIRI SINDHUDURG,SHS,3,Post Graduate,"Rs 5,06,60,534 ~ 5 Crore+","Rs 28,30,000 ~ 28 Lacs+"
533,Vincent H. Pala,SHILLONG,INC,0,Graduate Professional,"Rs 54,95,15,421 ~ 54 Crore+",Rs 0 ~
534,Vinod Kumar Sonkar,KAUSHAMBI,BJP,4,Graduate,"Rs 5,93,36,113 ~ 5 Crore+","Rs 2,07,30,086 ~ 2 Crore+"
535,Virendra Kumar,TIKAMGARH,BJP,0,Doctorate,"Rs 2,15,03,766 ~ 2 Crore+","Rs 19,74,216 ~ 19 Lacs+"
536,Virendra Singh,BALLIA,BJP,2,Graduate,"Rs 2,44,98,319 ~ 2 Crore+",Rs 0 ~
537,Vishnu Datt Sharma,KHAJURAHO,BJP,0,Post Graduate,"Rs 1,05,89,334 ~ 1 Crore+","Rs 25,07,176 ~ 25 Lacs+"
538,Vishnu Dayal Ram,PALAMU,BJP,0,Graduate,"Rs 3,22,73,873 ~ 3 Crore+","Rs 90,922 ~ 90 Thou+"
539,Vishnuprasad. M.K,ARANI,INC,1,Graduate Professional,"Rs 23,45,64,815 ~ 23 Crore+","Rs 3,34,09,505 ~ 3 Crore+"
540,Vivek Narayan Shejwalkar,GWALIOR,BJP,0,Graduate Professional,"Rs 5,89,11,673 ~ 5 Crore+",Rs 0 ~
541,Y. Devendrappa,BELLARY,BJP,0,5th Pass,"Rs 4,01,07,878 ~ 4 Crore+","Rs 2,50,000 ~ 2 Lacs+"
542,Yeduguri Sandinti Avinash Reddy,KADAPA,YSRCP,4,Post Graduate,"Rs 18,69,69,794 ~ 18 Crore+","Rs 2,28,33,319 ~ 2 Crore+"
